_transaction_day,transaction_count,fraud_count,fraud_rate
1,5122,112,0.021866458414681766
2,3730,123,0.032975871313672925
3,3241,92,0.028386300524529465
4,4036,115,0.028493557978196235
5,3964,127,0.03203834510595358
6,3717,99,0.026634382566585957
7,3786,136,0.03592181722134179
8,3999,93,0.023255813953488372
9,3907,119,0.030458152034809317
10,3445,90,0.026124818577648767
11,4319,123,0.02847881454040287
12,4164,84,0.020172910662824207
13,4183,82,0.01960315562993067
14,4446,126,0.02834008097165992
15,5034,143,0.02840683353198252
16,4325,70,0.016184971098265895
17,3805,126,0.033114323258869906
18,5585,161,0.0288272157564906
19,5526,118,0.021353601158161418
20,5749,135,0.02348234475560967
21,5677,116,0.020433327461687512
22,6852,147,0.021453590192644482
23,5872,106,0.018051771117166212
24,6065,76,0.012530915086562242
25,5742,63,0.0109717868338558
26,3458,82,0.02371312897628687
27,3585,100,0.02789400278940028
28,3332,150,0.045018007202881155
29,4302,129,0.0299860529986053
30,3371,158,0.04687036487689113
31,2982,149,0.0499664654594232
32,2387,51,0.0213657310431504
33,3403,123,0.03614457831325301
34,4264,159,0.037288930581613505
35,3830,120,0.031331592689295036
36,3571,135,0.03780453654438533
37,3030,126,0.041584158415841586
38,2544,110,0.04323899371069182
39,3017,117,0.038780245276765
40,2914,109,0.03740562800274537
41,2962,121,0.04085077650236327
42,2881,85,0.02950364456785838
43,3606,160,0.044370493621741544
44,2786,119,0.04271356783919598
45,2300,100,0.043478260869565216
46,2786,117,0.04199569274946159
47,2971,91,0.030629417704476608
48,3062,115,0.03755715218811234
49,3053,121,0.03963314772355061
50,3336,175,0.05245803357314149
51,2826,148,0.052370842179759375
52,2333,114,0.0488641234462066
53,2908,79,0.027166437414030263
54,2798,112,0.040028591851322376
55,2771,76,0.02742692168892097
56,2789,158,0.05665112943707422
57,3274,109,0.03329260843005498
58,2681,102,0.03804550540842969
59,2402,168,0.06994171523730225
60,2932,108,0.036834924965893585
61,3111,112,0.03600128576020572
62,3057,165,0.053974484789008834
63,3975,163,0.041006289308176104
64,4317,234,0.054204308547602505
65,3209,183,0.05702711124961047
66,2584,85,0.03289473684210526
67,3223,120,0.03723239218119764
68,3158,111,0.035148828372387586
69,3130,118,0.03769968051118211
70,2913,145,0.049776862341228974
71,3267,152,0.04652586470768289
72,2744,94,0.034256559766763846
73,2304,135,0.05859375
74,3122,120,0.03843689942344651
75,3054,110,0.03601833660772757
76,3456,144,0.041666666666666664
77,3006,125,0.041583499667332005
78,3166,100,0.03158559696778269
79,2688,113,0.04203869047619048
80,2204,66,0.029945553539019964
81,2863,105,0.03667481662591687
82,2970,95,0.03198653198653199
83,2934,81,0.027607361963190184
84,3350,116,0.03462686567164179
85,3574,187,0.052322327923894796
86,2661,125,0.04697482149567832
87,2549,99,0.03883876029815614
88,3021,75,0.024826216484607744
89,3226,114,0.035337879727216366
90,3353,132,0.0393677303906949
91,4007,180,0.04492138757174944
92,6252,147,0.023512476007677544
93,4524,151,0.033377541998231654
94,2931,81,0.027635619242579325
95,3711,150,0.04042037186742118
96,3243,91,0.028060437866173297
97,3102,135,0.043520309477756286
98,3666,129,0.03518821603927987
99,3301,105,0.03180854286579824
100,3052,100,0.0327653997378768
101,2500,68,0.0272
102,3166,105,0.03316487681617183
103,3101,97,0.03128023218316672
104,3115,111,0.03563402889245586
105,3034,132,0.043506921555702044
106,3221,152,0.04719031356721515
107,2809,127,0.04521181915272339
108,2287,96,0.04197638828159161
109,3151,133,0.04220882259600127
110,3018,117,0.03876739562624255
111,3180,102,0.03207547169811321
112,3225,139,0.04310077519379845
113,3227,161,0.049891540130151846
114,2758,150,0.05438723712835388
115,2461,139,0.056481105241771634
116,3111,163,0.05239472838315654
117,3042,194,0.06377383300460224
118,3179,117,0.03680402642340359
119,3300,145,0.04393939393939394
120,3941,181,0.04592742958639939
121,3017,121,0.04010606562810739
122,2507,64,0.025528520143597924
123,3390,128,0.03775811209439528
124,4202,89,0.021180390290337935
125,3467,148,0.04268820305739833
126,3051,102,0.03343166175024582
127,3335,84,0.025187406296851574
128,2507,69,0.027522935779816515
129,2348,130,0.05536626916524702
130,2807,95,0.033843961524759526
131,2822,105,0.03720765414599575
132,2752,108,0.03924418604651163
133,2687,136,0.05061406773353182
134,2937,103,0.035069799114742936
135,2429,90,0.03705228489090161
136,2048,73,0.03564453125
137,2914,69,0.02367879203843514
138,2846,112,0.03935347856640899
139,2769,61,0.022029613578909354
140,2629,103,0.03917839482693039
141,3000,131,0.043666666666666666
142,2391,103,0.04307820995399415
143,2064,71,0.03439922480620155
144,2718,90,0.033112582781456956
145,2668,67,0.025112443778110945
146,2990,98,0.03277591973244147
147,2718,79,0.029065489330389993
148,3060,86,0.028104575163398694
149,2289,66,0.028833551769331587
150,2209,69,0.03123585332729742
151,3101,99,0.03192518542405676
152,3896,120,0.030800821355236138
153,3105,126,0.04057971014492753
154,3783,94,0.024848004229447527
155,3352,119,0.035501193317422436
156,2575,54,0.020970873786407766
157,2259,69,0.03054448871181939
158,3048,81,0.0265748031496063
159,2845,89,0.031282952548330405
160,2878,85,0.029534398888116747
161,2854,68,0.023826208829712685
162,3233,114,0.03526136715125271
163,2880,136,0.04722222222222222
164,2988,77,0.025769745649263723
165,3038,73,0.02402896642527979
166,2931,94,0.03207096554077107
167,3020,119,0.03940397350993378
168,2948,116,0.03934871099050204
169,3191,146,0.04575368223127546
170,2409,101,0.04192611041926111
171,2795,68,0.024329159212880144
172,3160,81,0.025632911392405065
173,2866,142,0.04954640614096301
174,2837,87,0.030666196686640817
175,2683,108,0.04025344763324636
176,3032,145,0.04782321899736148
177,2364,109,0.0461082910321489
178,2068,88,0.0425531914893617
179,2177,66,0.03031694993109784
180,2618,98,0.0374331550802139
181,2739,122,0.04454180357794816
182,2754,119,0.043209876543209874
