feature,importance
card1,6.502224988957441
C1,5.044175342691934
TransactionAmt,4.885173179088754
addr1,4.710648982316204
TransactionDT,4.673955827168341
C13,3.8772333997745045
card2,3.8565506596407566
P_emaildomain,3.3063333425793364
M5,2.7127065962009396
D2,2.515471262030303
D10,2.1948262918111774
M6,2.183073810628358
D15,1.949704539398551
C14,1.9468999793257282
dist1,1.5208585234016125
DeviceInfo,1.5168159475727805
card5,1.5167682164791731
M4,1.4007095871163524
C6,1.3795417397959282
ProductCD,1.2124932995957312
R_emaildomain,1.163311744364806
id_19,1.102537965235617
D4,1.073541697050959
M3,1.062055897702928
C11,1.056848052554683
D3,1.0236818485083736
C2,0.9765683220098081
D5,0.957487450884401
D1,0.9524510213759836
id_31,0.8243958169305856
C9,0.81406615407163
card6,0.7817266736565535
id_02,0.7662802771005576
id_20,0.6809170347048703
C5,0.6800486808661006
D11,0.6784772809186461
V308,0.6674657027216964
V307,0.6613568217189427
D8,0.6595274856989983
V82,0.6507847620608531
M8,0.6385036033573086
V91,0.6039495310595149
M9,0.5249457788213129
V317,0.5005341631080786
V310,0.46818915331965155
id_33,0.44751380175677513
card4,0.4349504100409421
V48,0.42558097389807464
V70,0.42149887291365934
V258,0.4213431260533239
V75,0.4160020154341532
V281,0.4035759696661987
id_05,0.3870667171343259
M7,0.3821724362135454
V285,0.35827548961568817
M2,0.34261008540773935
V67,0.3221262829220081
id_13,0.29498165115513447
V83,0.2877693428200704
V62,0.28096987604802015
V49,0.2788401419610335
V312,0.27673209395163323
V54,0.2628072933635684
V294,0.2554200370047142
id_06,0.25004320590815526
id_09,0.24454548603155202
id_15,0.2409392361924989
id_14,0.22998197343570717
V283,0.22787135491820112
V36,0.22611958087567666
V90,0.22598605604240982
V55,0.2236997360583806
V53,0.22019425615307706
V61,0.21480519287841787
V315,0.21242460070065608
V87,0.1975506063302093
D13,0.19610720188416617
card3,0.19504967031250353
V76,0.19497024035821006
V313,0.1923696501201537
id_18,0.19058512302635922
V10,0.18805389214356769
V12,0.18765486875007992
V30,0.1851938118465586
V127,0.18388327469650795
V133,0.17763005726226128
V311,0.17456852396633551
id_30,0.17094058728104705
DeviceType,0.16884543065513352
C8,0.16504695080646806
V165,0.1638356032480056
V136,0.1567197801859299
V45,0.15487426735879006
C12,0.1547899920862245
V29,0.1531207371983027
V187,0.15147701330955005
V130,0.15026316977107154
C3,0.1499638385513527
dist2,0.14421927113425465
V35,0.1397597490294795
id_01,0.1390920116574297
V201,0.13887687308503086
id_38,0.13819622593040065
V86,0.13541348912626391
V309,0.13260776952913716
V314,0.1255167937938481
id_34,0.1248225439927574
id_16,0.11725806156956692
D14,0.11516720001262455
V128,0.11433672784062152
V316,0.10931497202774633
D9,0.1092657158214252
V159,0.10917216563848238
V306,0.10868908517345527
V5,0.10612282223114174
V131,0.10561164487250836
V19,0.10110883005160277
V20,0.10023878235017887
V78,0.09950276441179812
V44,0.09896175805307927
V13,0.09823818961990653
V26,0.094961905041124
V150,0.09455840398445386
M1,0.0940364355493536
id_32,0.09128925524642817
D12,0.08851447568283216
V320,0.08623858343537015
V257,0.08572945952786515
V56,0.08516321391303545
V293,0.08489134739664665
id_29,0.08259279821279239
V280,0.0818127915355908
V102,0.08170312474765216
V23,0.0786237912608801
V291,0.07823532674639999
id_35,0.07563025634239909
V38,0.07521031212544055
id_36,0.07469211113225019
V74,0.07309913456510922
C10,0.0729146188112555
V25,0.07205175859373436
id_28,0.0715699075536532
C7,0.07096319365663631
V203,0.06982971623283504
D7,0.06813649450989219
V218,0.06720407534289058
id_03,0.06371505319118018
V64,0.06305891176063617
id_37,0.06256019937035194
id_12,0.06234253184999272
V69,0.05960661221092977
V6,0.05727600208261018
V126,0.056954395771548885
V279,0.05613761177219366
C4,0.05498544883413934
V66,0.05491365544350987
V51,0.05441101592903305
V2,0.05298305249144587
V300,0.050800382475288806
V3,0.049912143866435506
V124,0.04983294670299109
V143,0.0498192765752597
V52,0.049380953241775064
V246,0.04850509999613794
V290,0.04815625703675556
id_11,0.04798806365601393
V14,0.04690204357290838
V319,0.04428350362252437
V287,0.043899516161491466
id_17,0.0437198212630135
V99,0.04308011519787421
V73,0.041219181797033225
V129,0.0407192376457382
V145,0.040660020697928304
V292,0.03929946378790001
V234,0.0367814121601885
V135,0.036323080091775484
V261,0.035996309130756625
V68,0.03518586060637671
V206,0.03513384843141492
V7,0.0323478255431659
V4,0.03227683925633368
V282,0.032086738873153685
V8,0.03178864649011255
V94,0.0311261782046535
V170,0.030980227064475497
V37,0.030192723053399418
V301,0.02944895725802576
V95,0.02899114533733351
V296,0.02627876434686435
V173,0.02595822328019963
D6,0.025611031647677935
addr2,0.025454053390276076
V284,0.02479166607253894
V288,0.024383409811755675
V63,0.024339645509939462
V264,0.023094581690083195
V71,0.022803020455996706
V149,0.022708140406482957
V109,0.022390997636093597
V273,0.022215914826903115
V169,0.02196285474223167
V105,0.02194329243143028
V11,0.021727039687486873
V22,0.02163813169947184
V286,0.021257325381376774
V137,0.020542868584290396
V43,0.01920213544097801
V259,0.01870122094954182
V322,0.01816182287535955
V162,0.017337574146358056
V208,0.0172158652683701
V166,0.017173450356270187
V178,0.01713516420396724
V331,0.01693161892494512
V321,0.01683959779796484
V153,0.016785685748882027
V318,0.01672830826600027
V161,0.016699532141302906
V24,0.016450281025264187
V96,0.016084394419449522
V275,0.01552520330308196
V179,0.014729614038302896
V58,0.01453051142551223
V164,0.014515258821215184
V271,0.01448032093073481
V339,0.014272055004158471
V77,0.013123294738781257
V81,0.01306978688335094
V266,0.012938738282553765
V140,0.012912886673042686
V274,0.012516729629352482
V240,0.012056173886010525
V304,0.011851335904673216
V254,0.011847956892451357
V200,0.01166496703249691
V212,0.011661019584348623
V108,0.011575776971060572
V151,0.011329940454157863
V256,0.01090555749872354
V160,0.010666295181514475
V229,0.010664372194668575
V337,0.010518925330335167
V93,0.010139698910511693
V272,0.00999105514445614
V255,0.009217110813297229
V144,0.009131611711793232
V216,0.008919987863167554
V295,0.008160878043711267
V335,0.007933502688754576
V326,0.007755656003227685
V222,0.007455417490739503
V209,0.007352370685484941
V205,0.00720433704877898
V219,0.007029720980594228
V16,0.006775053233127755
V252,0.006357099000119842
V112,0.006316713260786769
V97,0.006179685860076323
V220,0.006164447472876852
V156,0.006069929802922442
V33,0.006031298895738449
V80,0.005973031998117394
V47,0.005713632823684536
V267,0.005670130016771263
V260,0.005616531497950378
V333,0.005582420388287701
id_04,0.0055330353628919105
V158,0.00541924189631438
V332,0.005388091892399376
V277,0.0051780352078107
V41,0.005105688181252203
V303,0.004965851348685693
V185,0.00495233358512873
V34,0.004896708165996066
V111,0.004878561360872733
V299,0.004804849720143087
V172,0.004719144720262547
V57,0.0046162789538086255
V46,0.004461643599048255
V328,0.00434373494961897
V221,0.004342638786942598
V184,0.004186004118845977
V139,0.004042991352719961
V110,0.00401996171505101
V123,0.003913844210738014
V132,0.0033686777533019976
V270,0.0033204694496432137
V152,0.0031164551616597704
V101,0.002996860013029229
V120,0.002903623409919524
V176,0.0028552120081639567
V239,0.002851520728738723
V39,0.0028075937592972997
V40,0.0026874794701979444
V262,0.0024878611759284438
V210,0.0024780800005864893
V253,0.0024548554796405297
V181,0.0021855750254262713
V276,0.001954481278462879
V42,0.0017207664646923706
V168,0.00168507453559137
V171,0.0016287143018251702
V245,0.0015018791305765103
V134,0.001468887557627746
V85,0.0013145370439258536
V122,0.0011854655103679806
V289,0.0011653726621189773
V242,0.0011108482803859048
V141,0.001103510830872226
V215,0.001084676152195486
V142,0.0008834299554721139
V98,0.0008351152963637567
V100,0.0006602409676729177
V59,0.00030617195635322707
V32,0.0002644707317326568
V138,0.00010952863212756374
V202,0.0
V175,0.0
V199,0.0
V204,0.0
V174,0.0
V177,0.0
V180,0.0
V182,0.0
V213,0.0
V214,0.0
V146,0.0
V21,0.0
V72,0.0
V107,0.0
V104,0.0
V106,0.0
V327,0.0
V103,0.0
V329,0.0
id_10,0.0
V125,0.0
V155,0.0
V50,0.0
V334,0.0
V1,0.0
V336,0.0
V113,0.0
V114,0.0
V116,0.0
V117,0.0
V115,0.0
V154,0.0
V148,0.0
V147,0.0
V183,0.0
V188,0.0
V157,0.0
V186,0.0
V167,0.0
V163,0.0
V197,0.0
V198,0.0
V231,0.0
V230,0.0
V196,0.0
V195,0.0
V193,0.0
V194,0.0
V192,0.0
V191,0.0
V189,0.0
V190,0.0
V217,0.0
V237,0.0
V263,0.0
V207,0.0
V236,0.0
V238,0.0
V250,0.0
V249,0.0
V248,0.0
V247,0.0
V211,0.0
V235,0.0
V233,0.0
V251,0.0
V226,0.0
V225,0.0
V224,0.0
V223,0.0
V227,0.0
V228,0.0
V265,0.0
V232,0.0
V305,0.0
V302,0.0
V298,0.0
V297,0.0
V268,0.0
V244,0.0
V243,0.0
V278,0.0
V241,0.0
V269,0.0
V92,0.0
V88,0.0
V84,0.0
V79,0.0
V65,0.0
V60,0.0
V325,0.0
V89,0.0
V121,0.0
V118,0.0
V330,0.0
V9,0.0
V323,0.0
V324,0.0
V119,0.0
V18,0.0
V15,0.0
V17,0.0
V338,0.0
V27,0.0
V31,0.0
V28,0.0
